[2025-06-02 00:00:02,218.218] DEBUG    [ThreadPoolExecutor-0_9|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://gh-proxy.com:443 "GET / HTTP/1.1" 200 None
[2025-06-02 00:00:02,221.221] DEBUG    [ThreadPoolExecutor-0_4|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://github.whrstudio.top:443 "GET / HTTP/1.1" 200 None
[2025-06-02 00:00:02,265.265] DEBUG    [ThreadPoolExecutor-0_8|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://git.886.be:443 "GET / HTTP/1.1" 200 None
[2025-06-02 00:00:02,389.389] DEBUG    [ThreadPoolExecutor-0_7|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://fastgit.cc:443 "GET / HTTP/1.1" 200 None
[2025-06-02 00:00:02,397.397] DEBUG    [ThreadPoolExecutor-0_3|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://gh-proxy.ygxz.in:443 "GET / HTTP/1.1" 200 None
[2025-06-02 00:00:02,605.605] DEBUG    [ThreadPoolExecutor-0_2|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://cdn.moran233.xyz:443 "GET / HTTP/1.1" 404 19
[2025-06-02 00:00:02,720.720] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"self_id":3909177943,"user_id":1633360356,"tim...","group_id":962286341}' [439 bytes]
[2025-06-02 00:00:02,720.720] DEBUG    [MainThread|MainProcess] Logger (client.py:handle_group_event:166) | {'group_id': '962286341', 'user_id': '1633360356', 'message_type': 'group', 'sub_type': 'normal', 'font': '14', 'sender': "{'user_id': 1633360356, 'nickname': '蚊子没有🐴', 'card': ''}", 'raw_message': '五子棋', 'message_id': '1202427552', 'message_seq': '1202427552', 'real_id': '1202427552', 'message': "[{'type': 'text', 'data': {'text': '五子棋'}}]", 'message_format': 'array'}
[2025-06-02 00:00:02,725.725] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:__init__:256) | = connection is CONNECTING
[2025-06-02 00:00:02,725.725] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:114) | > GET /api HTTP/1.1
[2025-06-02 00:00:02,725.725] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Host: localhost:3001
[2025-06-02 00:00:02,726.726] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Upgrade: websocket
[2025-06-02 00:00:02,726.726] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Connection: Upgrade
[2025-06-02 00:00:02,726.726] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Key: P0ThCU3YViik4Xlqf+VyCA==
[2025-06-02 00:00:02,726.726] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Version: 13
[2025-06-02 00:00:02,726.726] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
[2025-06-02 00:00:02,726.726] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Content-Type: application/json
[2025-06-02 00:00:02,727.727] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > User-Agent: Python/3.10 websockets/10.4
[2025-06-02 00:00:02,728.728] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:147) | < HTTP/1.1 101 Switching Protocols
[2025-06-02 00:00:02,730.730] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Upgrade: websocket
[2025-06-02 00:00:02,730.730] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Connection: Upgrade
[2025-06-02 00:00:02,730.730] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Sec-WebSocket-Accept: bFj6dLy6TDI0JD250OYo0f+bs9U=
[2025-06-02 00:00:02,730.730] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_open:357) | = connection is OPEN
[2025-06-02 00:00:02,730.730] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > TEXT '{"action": "send_group_msg", "params": {"group_...]}, "echo": 1748793602}' [222 bytes]
[2025-06-02 00:00:03,161.161] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"status":"ok","retcode":0,"data":{"message_id"...":"","echo":1748793602}' [104 bytes]
[2025-06-02 00:00:03,162.162] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_close_frame:1232) | = connection is CLOSING
[2025-06-02 00:00:03,162.162] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > CLOSE 1000 (OK) [2 bytes]
[2025-06-02 00:00:03,162.162] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < CLOSE 1000 (OK) [2 bytes]
[2025-06-02 00:00:03,163.163] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_lost:1514) | = connection is CLOSED
[2025-06-02 00:00:03,163.163] DEBUG    [MainThread|MainProcess] Logger (function_enhance.py:check_and_log:76) | {'status': 'ok', 'retcode': 0, 'data': {'message_id': 2004664413}, 'message': '', 'wording': '', 'echo': 1748793602}
[2025-06-02 00:00:03,987.987] DEBUG    [ThreadPoolExecutor-0_6|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://ghproxy.net:443 "GET / HTTP/1.1" 200 None
[2025-06-02 00:00:05,887.887] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"self_id":3909177943,"user_id":1706773717,"tim...","group_id":962286341}' [424 bytes]
[2025-06-02 00:00:05,887.887] DEBUG    [MainThread|MainProcess] Logger (client.py:handle_group_event:166) | {'group_id': '962286341', 'user_id': '1706773717', 'message_type': 'group', 'sub_type': 'normal', 'font': '14', 'sender': "{'user_id': 1706773717, 'nickname': 'EY Bot', 'card': ''}", 'raw_message': '对弈', 'message_id': '1711962407', 'message_seq': '1711962407', 'real_id': '1711962407', 'message': "[{'type': 'text', 'data': {'text': '对弈'}}]", 'message_format': 'array'}
[2025-06-02 00:00:05,890.890] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:__init__:256) | = connection is CONNECTING
[2025-06-02 00:00:05,890.890] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:114) | > GET /api HTTP/1.1
[2025-06-02 00:00:05,890.890] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Host: localhost:3001
[2025-06-02 00:00:05,890.890] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Upgrade: websocket
[2025-06-02 00:00:05,891.891] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Connection: Upgrade
[2025-06-02 00:00:05,891.891] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Key: YXb93MTAD6p8skiy43A5XA==
[2025-06-02 00:00:05,891.891] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Version: 13
[2025-06-02 00:00:05,891.891] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
[2025-06-02 00:00:05,891.891] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Content-Type: application/json
[2025-06-02 00:00:05,892.892] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > User-Agent: Python/3.10 websockets/10.4
[2025-06-02 00:00:05,892.892] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:147) | < HTTP/1.1 101 Switching Protocols
[2025-06-02 00:00:05,892.892] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Upgrade: websocket
[2025-06-02 00:00:05,892.892] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Connection: Upgrade
[2025-06-02 00:00:05,893.893] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Sec-WebSocket-Accept: e2FKkoCBn/q9zL7LH8V8SX8pM30=
[2025-06-02 00:00:05,893.893] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_open:357) | = connection is OPEN
[2025-06-02 00:00:05,893.893] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > TEXT '{"action": "send_group_msg", "params": {"group_...]}, "echo": 1748793605}' [316 bytes]
[2025-06-02 00:00:06,318.318] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"status":"ok","retcode":0,"data":{"message_id"...":"","echo":1748793605}' [103 bytes]
[2025-06-02 00:00:06,318.318] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_close_frame:1232) | = connection is CLOSING
[2025-06-02 00:00:06,319.319] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > CLOSE 1000 (OK) [2 bytes]
[2025-06-02 00:00:06,319.319] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < CLOSE 1000 (OK) [2 bytes]
[2025-06-02 00:00:06,319.319] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_lost:1514) | = connection is CLOSED
[2025-06-02 00:00:06,320.320] DEBUG    [MainThread|MainProcess] Logger (function_enhance.py:check_and_log:76) | {'status': 'ok', 'retcode': 0, 'data': {'message_id': 336729459}, 'message': '', 'wording': '', 'echo': 1748793605}
[2025-06-02 00:00:08,454.454] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"self_id":3909177943,"user_id":1633360356,"tim...","group_id":962286341}' [430 bytes]
[2025-06-02 00:00:08,454.454] DEBUG    [MainThread|MainProcess] Logger (client.py:handle_group_event:166) | {'group_id': '962286341', 'user_id': '1633360356', 'message_type': 'group', 'sub_type': 'normal', 'font': '14', 'sender': "{'user_id': 1633360356, 'nickname': '蚊子没有🐴', 'card': ''}", 'raw_message': '启动', 'message_id': '701124342', 'message_seq': '701124342', 'real_id': '701124342', 'message': "[{'type': 'text', 'data': {'text': '启动'}}]", 'message_format': 'array'}
[2025-06-02 00:00:08,456.456] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:__init__:256) | = connection is CONNECTING
[2025-06-02 00:00:08,456.456] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:114) | > GET /api HTTP/1.1
[2025-06-02 00:00:08,456.456] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Host: localhost:3001
[2025-06-02 00:00:08,457.457] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Upgrade: websocket
[2025-06-02 00:00:08,457.457] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Connection: Upgrade
[2025-06-02 00:00:08,457.457] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Key: Eg2K4CWk0OFJEXnpxtZk5Q==
[2025-06-02 00:00:08,457.457] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Version: 13
[2025-06-02 00:00:08,457.457] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
[2025-06-02 00:00:08,457.457] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Content-Type: application/json
[2025-06-02 00:00:08,458.458] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > User-Agent: Python/3.10 websockets/10.4
[2025-06-02 00:00:08,458.458] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:147) | < HTTP/1.1 101 Switching Protocols
[2025-06-02 00:00:08,458.458] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Upgrade: websocket
