month|day|type|year|affair
10|1|affair|-331.0|亚历山大大帝的马其顿王国军队在高加米拉战役中击败大流士三世的波斯帝国军队。
10|1|affair|366.0|达玛稣一世祝圣为教宗。
10|1|affair|959.0|埃德加成为英格兰王国君主。
10|1|affair|965.0|若望十三世祝圣为教宗。
10|1|affair|1553.0|玛丽一世 (英格兰)于西敏寺加冕（英语：Coronation of Mary I of England）为英格兰女王。
10|1|affair|1588.0|波斯帝国萨法维王朝阿巴斯一世（大帝）继位。
10|1|affair|1730.0|奥斯曼苏丹艾哈迈德三世在禁卫军政变（英语：Patrona Halil）中被迫逊位，马哈茂德一世被立为苏丹。奥斯曼“郁金香时代”结束。
10|1|affair|1777.0|西班牙与葡萄牙签署《第一次圣伊德方索条约》。葡萄牙承认西班牙领有乌拉圭，以交换对巴西内陆亚马逊盆地的主权。
10|1|affair|1795.0|法兰西吞并奥属尼德兰。
10|1|affair|1800.0|西班牙将路易斯安那殖民地重新归还给法国，换取意大利托斯卡纳的统治权。
10|1|affair|1813.0|威斯特伐利亚国王杰罗姆·波拿巴战败撤离后，俄罗斯军队宣布威斯特伐利亚王国解散。
10|1|affair|1814.0|智利独立战争中的兰卡瓜战役（英语：Battle of Rancagua）爆发。西班牙政府军大败智利独立军，扭转战争形势。
10|1|affair|1843.0|英国《世界新闻报》发刊。
10|1|affair|1890.0|在约翰·缪尔等环保人士推动下，美国国会在加利福尼亚州设立优胜美地国家公园。
10|1|affair|1894.0|马达加斯加成为法国殖民地。
10|1|affair|1898.0|戊戌政变发生后，康有为、梁启超出逃。
10|1|affair|1903.0|第一届世界棒球锦标赛开幕。
10|1|affair|1910.0|九广铁路（英段）（现时为港铁东铁线）通车。
10|1|affair|1918.0|第一次世界大战：托马斯·爱德华·劳伦斯率领的阿拉伯军队攻占大马士革。
10|1|affair|1924.0|超现实主义宣言卷一出版
10|1|affair|1927.0|苏联开始实施第一个五年计划。
10|1|affair|1930.0|中国收回威海卫主权。
10|1|affair|1936.0|在西班牙内战期间，西班牙长枪党领导人弗朗西斯科·佛朗哥自封为大元帅与国家元首。
10|1|affair|1938.0|德国吞并苏台德地区。
